index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
0,A T Still University of Health Sciences,"800 W Jefferson, Kirksville, Missouri 63501",WWW.ATSU.EDU,"4-year, Private not-for-profit",3480.0,800 W Jefferson, Kirksville,Missouri,63501,0,Not-For-Profit,False
1,Abilene Christian University,"1600 Campus Court, Abilene, Texas 79699",www.acu.edu,"4-year, Private not-for-profit",4669.0,1600 Campus Court, Abilene,Texas,79699,0,Not-For-Profit,False
2,Abraham Baldwin Agricultural College,"2802 Moore Hwy, Tifton, Georgia 31793-2601",www.abac.edu,"4-year, primarily associate's, Public",3600.0,2802 Moore Hwy, Tifton,Georgia,31793-2601,1,Not-For-Profit,True
3,Academy College,"1101 E. 78th Street, Suite 100, Minneapolis, Minnesota 55420-1554",www.academycollege.edu,"4-year, primarily associate's, Private for-profit",165.0,"1101 E. 78th Street, Suite 100", Minneapolis,Minnesota,55420-1554,1,For-Profit,True
4,Academy for Five Element Acupuncture,"305 SE 2nd Ave, Gainesville, Florida 32601",www.acupuncturist.edu,"4-year, Private not-for-profit",51.0,305 SE 2nd Ave, Gainesville,Florida,32601,0,Not-For-Profit,False
5,Academy of Art University,"79 New Montgomery, San Francisco, California 94105",www.academyart.edu,"4-year, Private for-profit",13181.0,79 New Montgomery, San Francisco,California,94105,0,For-Profit,False
6,Academy of Chinese Culture and Health Sciences,"1601 Clay St, Oakland, California 94612",www.acchs.edu,"4-year, Private not-for-profit",92.0,1601 Clay St, Oakland,California,94612,0,Not-For-Profit,False
7,Academy of Oriental Medicine,"2700 W Anderson Ln Ste 204, Austin, Texas 78757",www.aoma.edu,"4-year, Private for-profit",207.0,2700 W Anderson Ln Ste 204, Austin,Texas,78757,0,For-Profit,False
8,Academy of Vocal Arts,"1920 Spruce St, Philadelphia, Pennsylvania 19103-6685",www.avaopera.org,"4-year, Private not-for-profit",27.0,1920 Spruce St, Philadelphia,Pennsylvania,19103-6685,0,Not-For-Profit,False
9,Acupuncture and Integrative Medicine College-Berkeley,"2550 Shattuck Ave, Berkeley, California 94704",www.aimc.edu,"4-year, Private not-for-profit",181.0,2550 Shattuck Ave, Berkeley,California,94704,0,Not-For-Profit,False
10,Acupuncture and Massage College,"10506 N Kendall Drive, Miami, Florida 33176",WWW.AMCOLLEGE.edu,"4-year, primarily associate's, Private for-profit",131.0,10506 N Kendall Drive, Miami,Florida,33176,1,For-Profit,True
11,Adams State College,"208 Edgemont Blvd, Alamosa, Colorado 81102",www.adams.edu,"4-year, Public",2920.0,208 Edgemont Blvd, Alamosa,Colorado,81102,0,Not-For-Profit,False
12,Adelphi University,"South Ave, Garden City, New York 11530-0701",WWW.ADELPHI.EDU,"4-year, Private not-for-profit",8177.0,South Ave, Garden City,York,11530-0701,0,Not-For-Profit,False
13,Adler Graduate School,"1550 East 78th Street, Richfield, Minnesota 55423",www.alfredadler.edu,"4-year, Private not-for-profit",274.0,1550 East 78th Street, Richfield,Minnesota,55423,0,Not-For-Profit,False
14,Adler School of Professional Psychology,"65 East Wacker Place, Suite 2100, Chicago, Illinois 60601",www.adler.edu,"4-year, Private not-for-profit",639.0,"65 East Wacker Place, Suite 2100", Chicago,Illinois,60601,0,Not-For-Profit,False
15,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",www.adrian.edu,"4-year, Private not-for-profit",1469.0,110 S Madison St, Adrian,Michigan,49221-2575,0,Not-For-Profit,False
16,Agnes Scott College,"141 E. College Ave, Decatur, Georgia 30030-3797",www.agnesscott.edu,"4-year, Private not-for-profit",832.0,141 E. College Ave, Decatur,Georgia,30030-3797,0,Not-For-Profit,False
17,AI Miami International University of Art and Design,"1501 Biscayne Boulevard, Miami, Florida 33132-1418",www.aimiu.aii.edu,"4-year, Private for-profit",3429.0,1501 Biscayne Boulevard, Miami,Florida,33132-1418,0,For-Profit,False
18,AIB College of Business,"2500 Fleur Drive, Des Moines, Iowa 50321-1799",www.aib.edu,"4-year, primarily associate's, Private not-for-profit",985.0,2500 Fleur Drive, Des Moines,Iowa,50321-1799,1,Not-For-Profit,True
19,Air Force Institute of Technology-Graduate School of Engineering & Management,"2950 Hobson Way-Wright Patterson AFB, Dayton, Ohio 45433-7765",www.afit.edu,"4-year, Public",773.0,2950 Hobson Way-Wright Patterson AFB, Dayton,Ohio,45433-7765,0,Not-For-Profit,False
20,Alabama A & M University,"4900 Meridian St, Normal, Alabama 35762",www.aamu.edu/,"4-year, Public",5124.0,4900 Meridian St, Normal,Alabama,35762,0,Not-For-Profit,False
21,Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36101-0271",www.alasu.edu,"4-year, Public",5695.0,915 S Jackson Street, Montgomery,Alabama,36101-0271,0,Not-For-Profit,False
22,Alaska Pacific University,"4101 University Dr, Anchorage, Alaska 99508",www.alaskapacific.edu,"4-year, Private not-for-profit",803.0,4101 University Dr, Anchorage,Alaska,99508,0,Not-For-Profit,False
23,Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, New York 12208-3492",www.acp.edu,"4-year, Private not-for-profit",1525.0,106 New Scotland Avenue, Albany,York,12208-3492,0,Not-For-Profit,False
24,Albany Law School,"80 New Scotland Avenue, Albany, New York 12208",www.albanylaw.edu,"4-year, Private not-for-profit",784.0,80 New Scotland Avenue, Albany,York,12208,0,Not-For-Profit,False
25,Albany Medical College,"47 New Scotland Ave, Albany, New York 12208-0000",www.amc.edu,"4-year, Private not-for-profit",839.0,47 New Scotland Ave, Albany,York,12208-0000,0,Not-For-Profit,False
26,Albany State University,"504 College Dr., Albany, Georgia 31705",www.asurams.edu/,"4-year, Public",4176.0,504 College Dr., Albany,Georgia,31705,0,Not-For-Profit,False
27,Albertus Magnus College,"700 Prospect St, New Haven, Connecticut 06511-1189",www.albertus.edu,"4-year, Private not-for-profit",2129.0,700 Prospect St, New Haven,Connecticut,06511-1189,0,Not-For-Profit,False
28,Albion College,"611 E Porter St, Albion, Michigan 49224",www.albion.edu,"4-year, Private not-for-profit",1860.0,611 E Porter St, Albion,Michigan,49224,0,Not-For-Profit,False
29,Albright College,"1621 N. 13th St., Reading, Pennsylvania 19612-5234",www.albright.edu,"4-year, Private not-for-profit",2305.0,1621 N. 13th St., Reading,Pennsylvania,19612-5234,0,Not-For-Profit,False
30,Alcorn State University,"1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500",www.alcorn.edu,"4-year, Public",3252.0,1000 ASU Dr Ste 359, Alcorn State,Mississippi,39096-7500,0,Not-For-Profit,False
31,Alderson Broaddus College,"101 College Hill Drive, Philippi, West Virginia 26416-2035",www.ab.edu/,"4-year, Private not-for-profit",738.0,101 College Hill Drive, Philippi,Virginia,26416-2035,0,Not-For-Profit,False
32,Alfred University,"One Saxon Drive, Alfred, New York 14802-1205",www.alfred.edu,"4-year, Private not-for-profit",2427.0,One Saxon Drive, Alfred,York,14802-1205,0,Not-For-Profit,False
33,Alice Lloyd College,"100 Purpose Rd, Pippa Passes, Kentucky 41844",www.alc.edu,"4-year, Private not-for-profit",609.0,100 Purpose Rd, Pippa Passes,Kentucky,41844,0,Not-For-Profit,False
34,Allegheny College,"520 N Main St, Meadville, Pennsylvania 16335-3902",www.allegheny.edu,"4-year, Private not-for-profit",2125.0,520 N Main St, Meadville,Pennsylvania,16335-3902,0,Not-For-Profit,False
35,Allegheny Wesleyan College,"2161 Woodsdale Rd, Salem, Ohio 44460-9598",awc.edu,"4-year, Private not-for-profit",55.0,2161 Woodsdale Rd, Salem,Ohio,44460-9598,0,Not-For-Profit,False
36,Allen College,"1990 Heath St, Waterloo, Iowa 50703-1999",www.allencollege.edu,"4-year, Private not-for-profit",417.0,1990 Heath St, Waterloo,Iowa,50703-1999,0,Not-For-Profit,False
